[1] "Exp-Zero"             "1.520929e-04"         "7.267775e-07"        
[4] "1.353176e-04"         "1.598054e-01"         "5.976505e-01"        
[7] "SUFEX-Model2-SANN.R0"
SANN Opt
Q0=5.072e-05

Step772  Qn=1.057e-05
Step773  Qn=1.441e-05
Step774  Qn=1.594e-05
Step775  Qn=1.232e-05
Step776  Qn=1.592e-05
Step777  Qn=1.856e-05
Step778  Qn=3.908e-05
Step779  Qn=2.286e-05
Step780  Qn=1.648e-05
Step781  Qn=1.361e-05
Step782  Qn=3.100e-05
Step783  Qn=1.466e-05
Step784  Qn=3.189e-05
Step785  Qn=3.728e-05
Step786  Qn=1.362e-05
Step787  Qn=2.926e-05
Step788  Qn=2.582e-05
Step789  Qn=2.119e-05
Step790  Qn=1.874e-05
Step791  Qn=1.556e-05
Step792  Qn=2.654e-05
Step793  Qn=1.910e-05
Step794  Qn=2.220e-05
Step795  Qn=2.710e-05
Step796  Qn=1.074e-05
Step797  Qn=1.442e-05
Step798  Qn=1.281e-05
Step799  Qn=3.755e-05
Step800  Qn=1.852e-05
Step801  Qn=1.449e-05
Step802  Qn=1.180e-05
Step803  Qn=2.395e-05
Step804  Qn=1.977e-05
Step805  Qn=2.602e-05
